Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
40,12969870,BOOKKEEPER-927,Fixed,"4.3.2","4.5.0"
41,12964106,BOOKKEEPER-926,Fixed,"4.3.1","4.4.0"
42,12963141,BOOKKEEPER-925,Fixed,"","4.4.0"
43,12961723,BOOKKEEPER-924,Fixed,"4.3.2","4.5.0"
44,12957852,BOOKKEEPER-921,Fixed,"4.4.0","4.4.0"
45,12956990,BOOKKEEPER-919,Fixed,"","4.4.0"
46,12956808,BOOKKEEPER-917,Fixed,"4.4.0","4.4.0"
47,12956594,BOOKKEEPER-914,Fixed,"","4.4.0"
48,12956192,BOOKKEEPER-913,Fixed,"","4.4.0"
49,12955528,BOOKKEEPER-911,Fixed,"4.3.2","4.4.0"
50,12955364,BOOKKEEPER-910,Fixed,"4.3.2","4.4.0"
51,12955079,BOOKKEEPER-909,Fixed,"4.3.2","4.4.0"
52,12954350,BOOKKEEPER-908,Fixed,"4.3.2","4.5.0"
53,12951034,BOOKKEEPER-907,Fixed,"","4.5.0"
54,12949941,BOOKKEEPER-904,Fixed,"4.4.0","4.4.0"
55,12948520,BOOKKEEPER-903,Fixed,"","4.5.0"
56,12948158,BOOKKEEPER-902,Fixed,"","4.4.0"
57,12945332,BOOKKEEPER-900,Fixed,"4.3.2","4.4.0"
58,12945296,BOOKKEEPER-899,Fixed,"4.3.2","4.4.0"
59,12945294,BOOKKEEPER-898,Fixed,"4.3.2","4.4.0"
60,12941500,BOOKKEEPER-897,Fixed,"","4.4.0"
61,12937420,BOOKKEEPER-893,Fixed,"4.3.2","4.4.0"
62,12937075,BOOKKEEPER-891,Fixed,"","4.4.0"
63,12936459,BOOKKEEPER-890,Fixed,"4.3.2","4.4.0"
64,12929512,BOOKKEEPER-884,Fixed,"",""
65,12916308,BOOKKEEPER-883,Fixed,"","4.4.0;4.3.2"
66,12895181,BOOKKEEPER-872,Fixed,"",""
67,12852623,BOOKKEEPER-863,Fixed,"","4.4.0"
68,12839410,BOOKKEEPER-859,Fixed,"4.0.0;4.3.0",""
69,12833969,BOOKKEEPER-858,Fixed,"","4.4.0"
70,12830941,BOOKKEEPER-854,Fixed,"","4.4.0;4.3.1"
71,12820254,BOOKKEEPER-852,Fixed,"4.3.0","4.5.0"
72,12820202,BOOKKEEPER-848,Fixed,"4.3.0","4.4.0"
73,12786455,BOOKKEEPER-847,Fixed,"",""
74,12780651,BOOKKEEPER-840,Fixed,"","4.4.0;4.3.1"
75,12777218,BOOKKEEPER-839,Fixed,"","4.4.0;4.3.1"
76,12776617,BOOKKEEPER-838,Fixed,"","4.4.0;4.3.1"
77,12768077,BOOKKEEPER-835,Fixed,"","4.4.0;4.3.1"
78,12767034,BOOKKEEPER-834,Fixed,"","4.4.0;4.3.1"
79,12763351,BOOKKEEPER-833,Fixed,"","4.4.0;4.3.1"
80,12762320,BOOKKEEPER-831,Fixed,"","4.4.0"
81,12762316,BOOKKEEPER-829,Fixed,"",""
82,12762071,BOOKKEEPER-828,Fixed,"","4.4.0"
83,12760825,BOOKKEEPER-823,Fixed,"","4.4.0"
84,12760061,BOOKKEEPER-821,Fixed,"4.3.0","4.4.0"
85,12759347,BOOKKEEPER-815,Fixed,"4.3.0;4.2.3","4.0.0;4.4.0;4.3.1"
