Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
241,12544327,OPENJPA-2146,2.0.0,1.2.2,"2.0.0;2.0.1;2.1.0;2.1.1;2.2.0;2.2.1","2.2.1;2.3.0"
242,12544299,OPENJPA-2145,2.2.0,1.2.2,"2.2.0;2.2.1;2.3.0","2.2.1;2.3.0"
243,12544008,OPENJPA-2142,2.2.1,1.2.2,"2.2.1;2.3.0","2.2.1;2.3.0"
244,12543759,OPENJPA-2140,2.3.0,1.2.2,"2.3.0","2.3.0"
245,12543556,OPENJPA-2136,2.0.0,1.2.2,"2.0.0;2.1.1;2.2.0;2.3.0","2.2.1;2.3.0"
246,12542708,OPENJPA-2133,2.1.1,1.2.2,"2.1.1","2.2.1;1.2.3;2.3.0"
247,12542594,OPENJPA-2132,2.0.1,1.2.2,"2.0.1;2.1.1;2.2.0","2.2.1;2.3.0"
248,12542592,OPENJPA-2131,2.1.1,1.2.2,"2.1.1","2.3.0"
249,12542018,OPENJPA-2124,2.0.0,1.2.2,"2.0.0;2.0.1;2.1.0;2.3.0","2.2.0"
250,12541862,OPENJPA-2123,2.2.1,1.2.2,"2.2.1;2.3.0","2.2.1;2.3.0"
251,12541722,OPENJPA-2122,2.2.0,1.2.2,"2.2.0","2.2.0"
252,12540917,OPENJPA-2119,2.2.0,1.2.2,"2.2.0","2.2.0"
253,12540446,OPENJPA-2118,2.0.0,1.2.2,"2.0.0;2.1.0;2.2.0","2.2.1;2.3.0"
254,12539944,OPENJPA-2117,2.1.1,1.2.2,"2.1.1;2.2.0;1.2.3","2.2.0;1.2.3"
255,12538772,OPENJPA-2112,2.1.1,1.2.2,"2.1.1",""
256,12538690,OPENJPA-2110,1.2.2,1.2.2,"1.2.2;2.1.1","2.3.0"
257,12538078,OPENJPA-2107,2.0.1,1.2.2,"2.0.1;2.1.0;2.2.0","2.2.0;1.2.3"
258,12537336,OPENJPA-2105,2.2.0,1.2.2,"2.2.0","2.2.0"
259,12537245,OPENJPA-2104,2.2.0,1.2.2,"2.2.0","2.2.0"
